2018-04-27 08:53:29.6987 [TRACE] :  >--------------- Program start -----------------
2018-04-27 08:53:30.1355 [TRACE] :  >Load document...
2018-04-27 08:53:31.0091 [TRACE] :  >Hardware initialize...
2018-04-27 08:53:33.4115 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 1 次重连...
2018-04-27 08:53:35.3303 [WARN] :  >连接未成功。
2018-04-27 08:53:36.4067 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 2 次重连...
2018-04-27 08:53:38.3255 [WARN] :  >连接未成功。
2018-04-27 08:53:39.4019 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 3 次重连...
2018-04-27 08:53:41.3207 [WARN] :  >连接未成功。
2018-04-27 08:53:42.3971 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 4 次重连...
2018-04-27 08:53:44.3315 [WARN] :  >连接未成功。
2018-04-27 08:53:45.4079 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 5 次重连...
2018-04-27 08:53:47.3267 [WARN] :  >连接未成功。
2018-04-27 08:53:48.4031 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 6 次重连...
2018-04-27 08:53:50.3219 [WARN] :  >连接未成功。
2018-04-27 08:53:51.3983 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 7 次重连...
2018-04-27 08:53:53.3171 [WARN] :  >连接未成功。
2018-04-27 08:53:54.3935 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 8 次重连...
2018-04-27 08:53:56.3279 [WARN] :  >连接未成功。
2018-04-27 08:53:57.4043 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 9 次重连...
2018-04-27 08:53:59.3231 [WARN] :  >连接未成功。
2018-04-27 08:54:00.3995 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 10 次重连...
2018-04-27 08:54:02.3183 [WARN] :  >连接未成功。
2018-04-27 08:54:03.3947 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 11 次重连...
2018-04-27 08:54:05.3291 [WARN] :  >连接未成功。
2018-04-27 08:54:06.4055 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 12 次重连...
2018-04-27 08:54:08.3253 [WARN] :  >连接未成功。
2018-04-27 08:54:09.3881 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 13 次重连...
2018-04-27 08:54:11.3225 [WARN] :  >连接未成功。
2018-04-27 08:54:12.3989 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 14 次重连...
2018-04-27 08:54:14.3177 [WARN] :  >连接未成功。
2018-04-27 08:54:15.3941 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 15 次重连...
2018-04-27 08:54:17.3285 [WARN] :  >连接未成功。
2018-04-27 08:54:18.4049 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 16 次重连...
2018-04-27 08:54:20.3237 [WARN] :  >连接未成功。
2018-04-27 08:54:21.4001 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 17 次重连...
2018-04-27 08:54:23.3189 [WARN] :  >连接未成功。
2018-04-27 08:54:24.3953 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 18 次重连...
2018-04-27 08:54:26.3297 [WARN] :  >连接未成功。
2018-04-27 08:55:48.3823 [TRACE] :  >--------------- Program start -----------------
2018-04-27 08:55:48.6475 [TRACE] :  >Load document...
2018-04-27 08:55:48.8503 [TRACE] :  >Hardware initialize...
2018-04-27 08:55:50.8939 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 1 次重连...
2018-04-27 08:55:52.8283 [WARN] :  >连接未成功。
2018-04-27 08:55:53.9203 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 2 次重连...
2018-04-27 08:55:55.9015 [WARN] :  >连接未成功。
2018-04-27 08:55:57.0091 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 3 次重连...
2018-04-27 08:55:58.8187 [WARN] :  >连接未成功。
2018-04-27 08:56:19.9575 [TRACE] :  >--------------- Program start -----------------
2018-04-27 08:56:20.1447 [TRACE] :  >Load document...
2018-04-27 08:56:20.3319 [TRACE] :  >Hardware initialize...
2018-04-27 08:56:22.4067 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 1 次重连...
2018-04-27 08:56:24.3255 [WARN] :  >连接未成功。
2018-04-27 08:56:25.4019 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 2 次重连...
2018-04-27 08:56:27.3207 [WARN] :  >连接未成功。
2018-04-27 08:56:28.3971 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 3 次重连...
2018-04-27 08:56:30.3159 [WARN] :  >连接未成功。
2018-04-27 08:56:31.3923 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 4 次重连...
2018-04-27 08:56:33.3267 [WARN] :  >连接未成功。
2018-04-27 08:56:34.4031 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 5 次重连...
2018-04-27 08:56:36.3219 [WARN] :  >连接未成功。
2018-04-27 08:56:37.3983 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 6 次重连...
2018-04-27 08:56:39.3171 [WARN] :  >连接未成功。
2018-04-27 08:56:40.4715 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 7 次重连...
2018-04-27 08:56:42.3279 [WARN] :  >连接未成功。
2018-04-27 08:56:43.4043 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 8 次重连...
2018-04-27 08:56:45.3231 [WARN] :  >连接未成功。
2018-04-27 08:56:46.3995 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 9 次重连...
2018-04-27 08:56:48.3183 [WARN] :  >连接未成功。
2018-04-27 08:56:49.3947 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 10 次重连...
2018-04-27 08:56:51.3291 [WARN] :  >连接未成功。
2018-04-27 08:56:52.4055 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 11 次重连...
2018-04-27 08:57:19.3753 [TRACE] :  >--------------- Program start -----------------
2018-04-27 08:57:19.5937 [TRACE] :  >Load document...
2018-04-27 08:57:19.7809 [TRACE] :  >Hardware initialize...
2018-04-27 08:57:21.9337 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 1 次重连...
2018-04-27 08:57:23.8223 [WARN] :  >连接未成功。
2018-04-27 08:57:24.8987 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 2 次重连...
2018-04-27 08:57:26.8175 [WARN] :  >连接未成功。
2018-04-27 08:57:27.8939 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 3 次重连...
2018-04-27 08:57:29.8283 [WARN] :  >连接未成功。
2018-04-27 08:57:30.9047 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 4 次重连...
2018-04-27 08:57:32.8235 [WARN] :  >连接未成功。
2018-04-27 08:57:33.8999 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 5 次重连...
2018-04-27 08:57:35.8187 [WARN] :  >连接未成功。
2018-04-27 08:57:36.8951 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 6 次重连...
2018-04-27 08:57:38.8295 [WARN] :  >连接未成功。
2018-04-27 08:57:39.9059 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 7 次重连...
2018-04-27 08:57:41.8247 [WARN] :  >连接未成功。
2018-04-27 08:57:42.9011 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 8 次重连...
2018-04-27 08:57:44.8199 [WARN] :  >连接未成功。
2018-04-27 08:57:45.8963 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 9 次重连...
2018-04-27 08:57:47.8151 [WARN] :  >连接未成功。
2018-04-27 08:57:48.8915 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 10 次重连...
2018-04-27 08:57:50.8259 [WARN] :  >连接未成功。
2018-04-27 08:57:51.9023 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 11 次重连...
2018-04-27 08:57:53.8211 [WARN] :  >连接未成功。
2018-04-27 08:57:54.8975 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 12 次重连...
2018-04-27 08:57:56.8163 [WARN] :  >连接未成功。
2018-04-27 08:57:57.8927 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 13 次重连...
2018-04-27 08:57:59.8271 [WARN] :  >连接未成功。
2018-04-27 08:58:00.9035 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 14 次重连...
2018-04-27 08:58:02.8223 [WARN] :  >连接未成功。
2018-04-27 08:58:03.8987 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 15 次重连...
2018-04-27 08:58:05.8175 [WARN] :  >连接未成功。
2018-04-27 08:58:06.8939 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 16 次重连...
2018-04-27 08:58:08.8283 [WARN] :  >连接未成功。
2018-04-27 08:58:09.9047 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 17 次重连...
2018-04-27 08:58:11.8235 [WARN] :  >连接未成功。
2018-04-27 08:58:12.8999 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 18 次重连...
2018-04-27 08:58:14.8187 [WARN] :  >连接未成功。
2018-04-27 08:58:15.8951 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 19 次重连...
2018-04-27 08:58:17.8295 [WARN] :  >连接未成功。
2018-04-27 08:58:18.9059 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 20 次重连...
2018-04-27 08:58:20.8247 [WARN] :  >连接未成功。
2018-04-27 08:58:21.9011 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 21 次重连...
2018-04-27 08:58:23.8199 [WARN] :  >连接未成功。
2018-04-27 08:58:24.8963 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 22 次重连...
2018-04-27 08:58:26.8151 [WARN] :  >连接未成功。
2018-04-27 08:58:27.8915 [WARN] :  >Yamaha_YamahaRobotRCX340_1 断开连接，即将尝试第 23 次重连...
2018-04-27 08:58:29.8259 [WARN] :  >连接未成功。
